EdgeID,Tension
6     ,0.841412
12    ,1.026295
13    ,1.043418
14    ,0.930230
17    ,0.876704
19    ,0.884697
20    ,1.126019
21    ,0.977859
22    ,0.919570
23    ,0.640930
24    ,0.961721
25    ,0.813287
26    ,0.936468
27    ,0.633444
29    ,1.007294
30    ,1.061789
31    ,1.300368
32    ,1.059770
33    ,0.813983
34    ,0.801260
35    ,0.794075
37    ,0.782105
38    ,0.881630
39    ,0.828135
40    ,0.808999
41    ,1.262415
42    ,1.231591
43    ,0.913364
44    ,0.825906
45    ,0.816936
46    ,0.669775
48    ,1.236089
49    ,0.992527
50    ,0.780647
51    ,0.912350
52    ,0.881597
53    ,0.980248
54    ,0.776344
55    ,0.680732
56    ,0.879173
57    ,0.911106
58    ,0.827458
59    ,0.897769
60    ,0.849165
61    ,0.825406
63    ,0.854357
64    ,0.930027
65    ,0.987616
66    ,0.897856
67    ,0.821957
68    ,0.914256
69    ,0.930205
70    ,0.844680
72    ,0.796020
73    ,0.720919
74    ,0.861354
75    ,0.762100
76    ,0.872237
77    ,0.930422
78    ,0.739128
79    ,1.069139
80    ,0.927926
81    ,0.810343
82    ,0.689900
83    ,0.646476
84    ,0.758376
85    ,0.758982
86    ,0.794985
87    ,0.778264
88    ,0.811660
89    ,0.742939
90    ,0.844515
91    ,0.772219
93    ,1.280099
94    ,1.026442
96    ,0.949373
97    ,1.050872
98    ,0.718261
99    ,0.848300
100   ,0.795300
101   ,0.794259
102   ,0.875526
103   ,0.775620
104   ,1.059128
105   ,0.921980
106   ,0.865019
107   ,0.924638
108   ,0.814823
109   ,0.795426
110   ,1.003013
111   ,0.761325
112   ,0.836923
113   ,0.801667
114   ,0.919263
116   ,0.924565
117   ,0.792068
118   ,0.931277
119   ,0.867150
121   ,0.949976
122   ,0.984330
123   ,0.862652
124   ,0.795139
125   ,0.918059
126   ,1.031102
127   ,1.017781
128   ,0.879346
129   ,0.776811
130   ,0.854115
131   ,0.722691
132   ,0.613286
133   ,0.680138
134   ,1.119665
135   ,0.977194
136   ,0.950310
137   ,1.015557
138   ,0.983616
139   ,0.999041
140   ,1.074278
141   ,0.908785
142   ,1.094473
144   ,0.883885
145   ,0.930695
147   ,1.038096
148   ,0.925845
150   ,1.156718
151   ,0.941975
152   ,0.852051
153   ,0.969026
154   ,1.110055
155   ,0.874787
158   ,0.841934
159   ,0.768002
160   ,0.898909
162   ,1.096782
164   ,0.860054
165   ,0.761271
166   ,0.949864
167   ,1.152076
168   ,1.139752
169   ,0.863012
170   ,1.226970
171   ,0.975061
172   ,1.057770
173   ,0.882570
174   ,0.813019
175   ,0.923427
177   ,1.141475
178   ,1.011967
180   ,1.246370
181   ,1.303818
182   ,1.316414
183   ,0.936202
184   ,1.169075
185   ,1.045996
186   ,0.993749
187   ,1.054432
188   ,1.089632
189   ,0.967449
190   ,0.803688
191   ,1.150962
192   ,1.320451
193   ,1.069994
194   ,1.506246
195   ,1.104662
196   ,1.310545
197   ,1.088433
198   ,0.855997
199   ,0.856499
200   ,1.360732
201   ,1.240770
202   ,1.156036
204   ,1.533481
205   ,1.301229
207   ,0.806903
208   ,1.044571
209   ,0.906691
210   ,0.946920
211   ,0.984288
212   ,0.815801
213   ,1.168754
214   ,1.272528
215   ,1.151053
216   ,1.111871
217   ,1.177731
218   ,0.956309
219   ,0.820288
220   ,1.427249
221   ,1.243708
222   ,1.003757
224   ,1.906112
225   ,1.303590
226   ,1.198188
227   ,1.351199
228   ,1.084443
229   ,1.334018
230   ,0.893137
231   ,1.023596
232   ,1.472487
233   ,1.011185
234   ,1.083391
235   ,1.064096
236   ,1.174698
237   ,0.814213
238   ,0.976238
240   ,1.431175
241   ,0.718388
242   ,1.104658
243   ,0.724504
244   ,0.827855
246   ,1.006730
247   ,0.784709
248   ,1.271014
249   ,0.825020
250   ,0.909180
251   ,0.944772
252   ,1.507392
253   ,1.028613
254   ,1.085340
255   ,0.881978
256   ,0.922590
257   ,1.575144
258   ,1.653711
259   ,1.058883
262   ,1.345548
263   ,1.246403
264   ,1.042177
265   ,1.451384
266   ,1.110849
267   ,1.140074
268   ,1.687919
269   ,0.922913
270   ,1.281177
272   ,1.012667
273   ,0.903035
275   ,1.021069
276   ,1.431911
277   ,1.396655
282   ,1.205761
283   ,1.499135
284   ,0.953089
287   ,1.033018
288   ,1.205695
289   ,1.000859
294   ,0.984682
295   ,1.118341
296   ,0.821160
298   ,1.562474
299   ,1.169220
301   ,1.635827
302   ,1.203371
303   ,1.188857
305   ,1.569967
306   ,1.437266
307   ,0.652034
309   ,1.606050
310   ,1.089730
311   ,1.253755
312   ,1.218982
313   ,0.840123
314   ,0.704652
315   ,0.909283
316   ,1.353825
317   ,1.274733
318   ,0.994253
319   ,1.022376
320   ,1.102246
321   ,0.996673
322   ,0.906542
323   ,0.894539
324   ,0.970722
325   ,1.044134
326   ,1.172872
327   ,1.243244
328   ,0.934866
329   ,0.895767
330   ,0.964906
331   ,0.913974
332   ,0.902873
333   ,0.988846
335   ,1.155088
336   ,0.712550
337   ,1.195373
339   ,0.653258
340   ,0.589838
341   ,1.316341
342   ,0.701206
343   ,0.768884
344   ,0.581664
345   ,1.116453
346   ,0.442680
